时间单位：微秒(μs),,,,,
n,serial,static,dynamic,serial/static,serial/dynamic
4,1.109,1277.9,1011,0.00086783,0.001096934
8,3.759,507.1,999,0.007412739,0.003762763
16,26.677,799.9,6000,0.033350419,0.004446167
32,112.765,1606.4,25858,0.070197336,0.004360933
64,703.657,3345,110747,0.210360837,0.006353734
128,5865.45,9082.1,406419,0.645825305,0.014432027
256,92228.2,51125.1,1624411,1.803971044,0.056776395
512,451518,311526.7,6818805,1.449371755,0.066216588
1024,5131880,3738291.7,27248839,1.372787469,0.188333896
